,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
F1LNY0,21651.31724,15026.50535,34652.67877,30559.00677,20781.08833,28698.12323,20906.04154,22142.7406,32798.71409,31519.92371,40780.6998,44596.35696,42869.08804,62954.29825,50316.02126
F1LP21,62156.02098,74932.76692,77561.37628,96374.06934,63398.71987,63467.32363,72754.6208,56807.18547,104420.701,73920.10324,40357.93104,50887.21998,53477.38226,44139.47963,49113.01375
F1LP30,207575.6354,278362.473,268358.9144,344578.8384,258435.3572,221735.891,283371.3914,211021.9067,329162.6976,370546.683,145763.6354,207238.7647,254932.306,272781.526,265689.9309
F1LPA6,1642.794228,4899.994547,5879.827768,9198.264014,10747.94833,102.2091221,148.1607877,83.9129738,149.6463076,18.16504585,51.55464101,61.69245301,619.9812807,118.2379243,48.85981461
F1LPG5,188442.884,211220.3396,205851.4294,209082.4752,196250.8775,257941.6631,245170.8508,234906.8483,308566.6708,328816.0984,183424.4922,155180.1527,193697.1633,312881.9933,237841.3894
F1LPK7,11867.6577,12847.98169,8831.233172,15486.46434,12325.36166,12170.88573,10944.37011,6083.526588,8333.542502,5476.452767,8374.045384,5841.34135,6278.355305,12676.13966,3003.498458
F1LPQ3,2923.698491,1112.262749,3787.158124,4526.658586,2367.713344,2690.220034,422.0765616,1050.0013,3461.165372,4057.070327,3464.725561,3635.512633,7638.824583,2053.389127,3716.721099
F1LPQ9,4960.921755,5114.479527,3447.200655,5955.505043,5296.669373,3657.803155,8380.873396,6996.708168,12543.80256,7355.619292,3640.4149,8870.853858,6035.434402,3167.014067,3620.001149
F1LPS8,8875.991113,10767.05497,11490.88165,17814.21856,16055.99091,11162.37072,6452.389578,6811.73152,11529.96976,11176.01561,6633.366441,9776.730318,9755.546463,9930.473528,4197.614845
F1LPV0,15467.29087,21812.06149,14354.82382,26195.02395,27552.81224,18272.35989,14941.50948,15054.21919,13200.89125,18312.62708,14411.5057,20780.98183,23539.76503,23219.60539,15791.40649
F1LQ00,6370.269657,6392.88538,6806.171969,8501.71805,3646.841177,9422.661504,12692.77563,5123.988325,8268.988811,4737.450228,40334.48459,23555.2285,27553.85066,39760.96396,47219.59125
F1LQ09,3637.791644,9110.760599,5998.892678,12019.31224,3580.305207,3124.481096,5391.374294,3839.458236,5208.53201,8144.312127,2308.575774,9029.967933,4934.548282,4071.345951,3671.222187
F1LQ55,309008.6529,376033.6162,338521.0286,531540.9723,369024.614,372788.2877,363029.8446,335694.371,467124.1404,578848.9288,105296.5318,93872.42489,104859.9223,148243.0681,100964.4932
F1LQC1,203824.0106,301917.0109,237868.0812,297222.6146,325097.6909,315741.8152,340791.9221,295359.559,356173.3234,378168.9493,55958.61127,58271.87026,58110.27102,111281.6597,58414.67404
F1LQI1,49208.90147,38006.87649,35082.33393,57658.27942,53300.74715,32051.37318,31083.70714,41074.26848,50727.65398,41710.07329,42671.80236,17641.16323,31541.56842,42441.28917,21757.73617
Q6IRL3,86137.52003,81051.12522,108741.7007,57461.70361,76541.08385,128883.3881,87125.96551,93590.98574,122828.6972,143883.5092,30734.62961,71479.31484,51402.17572,38272.94225,48622.06916
Q5D008,1564.22953,1767.589151,3079.40817,1672.600457,738.8733719,1544.918412,598.3516611,1172.058883,1832.169816,2557.627638,788.3135395,3027.706613,1809.620483,2275.211461,1907.33904
P97706,636.5988153,10.58550605,6.8156383,13.30975461,15.65414797,874.4349844,708.4008158,374.6097431,1286.657107,1015.711695,12050.00879,3062.018636,2523.96504,9060.159343,7947.890265
Q6P790,131194.4806,133085.7079,147646.8804,159760.4935,146593.4002,132722.5741,138979.5331,129992.2309,181912.3176,193203.2774,105977.9442,97689.21042,78082.52096,147454.9353,125148.3461
F1LQS6,81941.69426,98721.30927,78608.38144,118486.9927,92227.30841,125281.5488,107004.4135,75759.41634,115197.7708,152048.3327,53064.44036,105869.4311,107126.4361,83110.96353,78605.25325
F1LR38,67572.06138,71382.74932,72166.74602,99867.92607,78420.13422,51204.41402,43801.42437,30064.7821,71144.96903,79616.9533,9856.300507,10155.4804,6950.455185,10298.94247,9760.906097
F1LR87,1163.967023,4054.268488,5527.676525,5669.542885,3103.564857,3439.194418,1378.591067,879.741763,1253.904597,2040.411874,1028.073893,2439.765452,2247.270833,2892.514809,2283.704115
F1LR92,3466.21234,2099.822279,4416.829577,3811.419386,1715.649908,6983.404312,2363.365396,4062.105319,12768.04172,7755.258957,7062.436436,8334.453945,8676.147342,8835.170993,12128.26407
F1LRB8,6375.621477,6315.264424,3781.348516,4256.051588,7782.125564,8158.478362,2807.425478,6309.009076,8396.737176,7228.581518,4806.082189,4221.159811,5729.67946,8140.671057,4616.116107
F1LRE1,36111.93104,38981.70447,20560.88308,41188.19428,20705.81642,34527.27338,38568.67858,30436.98574,50511.56898,54257.03819,36400.61027,62918.39178,63568.97866,54355.5671,45906.7977
F1LRI5,194420.8653,270029.6342,353428.0839,4272.519445,224854.1998,3916.219521,1806.768854,4614.964981,5711.303393,2389.964236,2485.763095,8664.396018,13202.44263,5059.543263,5061.213433
F1LRI8,80807.10873,19254.56489,25238.57016,26505.09446,59261.51249,27732.08079,19895.40827,23971.35409,26647.08654,112461.5104,5563.001727,13313.35795,32328.67704,3318.375976,1759.205204
F1LRJ9,28967.25324,26650.24464,21883.0463,27404.15059,21200.85279,31045.77296,22341.67951,11906.01556,20621.16881,17104.44494,52173.47534,83617.86425,109656.6284,93888.84825,100570.1912
F1LRL9,1507.232665,1253.578556,1103.058248,1155.744113,1186.438995,502.3992808,1476.342658,1117.466023,942.2801148,1810.420568,3017.573965,1421.337745,1646.195874,8735.994624,22506.13674
F1LRQ1,17.99113226,7.352136627,7.258430551,19.72826026,12.59199513,86.86780505,191.3568718,140.0669029,478.7234255,296.9582619,4022.091583,1882.914997,1012.694055,4002.704299,3431.741302
F1LRT9,115765.1877,135442.8739,107911.7576,154864.6434,83590.26988,136640.8756,150507.5365,106593.3593,176605.3242,182947.624,95910.62565,133958.4347,127323.0934,134844.8102,117092.216
F1LRV4,97927.57636,92808.41823,117488.0243,139094.0713,107627.8294,115088.1353,127037.4993,115509.144,152428.266,158261.2737,92847.93342,90153.25534,97319.83697,90015.54594,104845.6614
F1LRV6,779599.4124,563596.6843,622406.2636,1112248.149,1011280.733,535820.4438,498253.1741,535037.0947,925428.2074,1001745.76,8476.623598,3441.256796,5511.218946,13493.91167,2924.174177
F1LS29,1714.401566,1216.13786,1809.531363,3547.636901,860.6270452,1407.840317,2318.270999,1115.125679,3382.341903,1583.818275,2512.286881,1704.716991,1663.475229,1475.088242,3384.579692
F1LS79,204.3214269,1224.356553,272.7229485,1469.051773,1197.262768,1074.597316,1075.730812,1024.797661,2101.596562,1525.975067,896.8578616,874.8817716,1965.695765,1783.672561,2553.375723
F1LS86,6149.239545,6580.088883,8969.131413,7070.572025,6977.760135,5206.219307,8701.123413,8297.395585,11666.5518,13972.16989,2905.234696,5712.488232,6410.194596,6901.214308,3563.561854
F1LSM5,2134.78691,3482.099259,4257.54434,6220.548572,2455.567194,2567.132899,1800.932519,3057.200519,1890.947659,1141.421146,5162.468193,1799.209275,1446.080655,2707.971431,3196.938347
F1LT10,2933.973986,1902.284354,2823.01959,699.1921984,2271.782883,3362.993653,5621.335765,3031.410611,2742.85261,4231.026724,7697.029203,3042.788289,5270.261608,4784.774559,7919.28405
F1LT36,40021.43452,37010.3603,21530.00127,39493.93339,24464.46659,31794.87226,18607.42451,25790.96627,35564.33036,33314.33224,24324.95692,23636.73786,30035.79542,62650.49664,33893.73166
F1LTF8,112805.632,132560.6249,128902.9342,149694.3288,118088.9753,127942.3294,136630.0352,118713.6058,173139.81,162171.6551,116067.2438,236230.7162,198993.1756,184375.9266,217206.2541
F1LTJ5,573929.0245,537576.5392,666252.7969,898536.8703,604372.9254,636422.1062,604883.4637,625815.1751,926787.2325,762689.787,699041.1882,858386.2822,746771.4014,982269.4685,882463.2248
F1LU71,303790.6298,295850.0195,315033.6385,370081.7672,278110.4431,273181.8156,350708.6987,242850.4928,354902.6348,409405.6845,247902.2238,206926.3935,258517.2127,367471.9795,226066.4507
F1LV13,44926.37625,47347.07552,26776.51859,39932.33452,37588.14995,47881.5611,74136.38494,35324.23995,69704.40232,57480.62162,36120.71829,40561.88774,54574.17295,54742.89733,55758.1613
F1LW74,2214.636049,2190.223879,1454.443395,2391.474458,1799.273146,2125.418314,2735.194631,2602.860051,3189.22442,3439.878484,1150.117344,1558.341798,1814.33304,2144.462249,1351.14134
F1LW91,11645.02205,11217.37072,699.450523,2154.99006,5592.097853,2609.022495,2610.885735,9898.726327,6511.505449,12237.31032,8052.389424,39826.83927,28318.51854,14170.89755,20454.99346
F1LWE6,1609.291842,936.2573669,853.4368949,3312.932809,504.860177,1378.234447,2085.117001,2630.944098,2177.973784,3570.356873,548.470172,639.2838021,170.2072907,1761.106369,711.2279401
F1LWG4,6697.800948,7436.202456,6129.768327,5978.116449,6351.959449,5144.176072,7205.1268,1399.20661,10902.77963,10870.99262,2869.625402,6901.939165,4060.762342,6489.768553,1214.218063
F1LWK7,2394.02901,3646.530132,2582.719141,1410.895004,1574.885958,3372.404241,1820.486722,1502.316476,4522.428151,4637.672645,1657.911437,3198.144148,2218.714998,4046.489455,3367.859139
F1LX28,241399.1288,312989.4132,230136.8419,359807.8997,278890.6336,208498.6109,249321.1314,238795.4086,338723.4399,374271.801,32531.94637,49584.04639,64079.50527,66052.94011,84968.20432
F1LXA0,496033.305,544585.2556,490017.5682,687036.1418,546880.5773,420853.0638,540534.1591,456635.7977,719943.5977,775922.8881,219561.3299,327379.6548,283420.813,448757.4387,305831.4156
F1LYI5,22268.38193,20816.68678,10657.74644,13927.21022,11227.05124,18865.72649,22273.33955,24444.8223,37484.63295,26126.77333,6828.558121,18336.67722,7694.365389,18850.52037,12230.3187
F1LYI7,10211.80503,10676.87768,14400.15148,10844.30818,10853.98831,12665.56609,13078.37264,15887.28923,13291.26642,15153.88583,2719.128513,10761.18766,12570.73607,8760.399419,5871.619907
F1LYQ6,3562.545072,304930.5308,6196.291466,7227.758488,51872.12644,4639.085764,7156.740109,3051.70973,8716.787614,6136.983008,3799.277056,4284.219746,4045.89536,2897.432224,4093.395425
F1LYS7,2905.157025,3520.052925,6884.697358,4712.59293,1737.682045,2506.963444,1574.263342,1455.194683,1728.612103,1761.738902,16265.97318,2678.827033,6134.734633,7798.473208,16263.02255
F1LZJ4,3704.421788,934.8189391,1002.443596,3388.002523,1980.310306,1443.359034,1608.682729,936.0898782,956.9633397,3377.087418,8133.719292,5461.127035,7999.559326,4128.872917,3430.968155
F1M062,855.249537,1048.624974,1446.654695,1406.518421,1168.802298,1341.758013,1368.295685,2481.657582,2140.260837,2137.079679,1800.46738,968.4642404,1185.936492,1558.196379,1379.472305
F1M0L7,81711.56607,107134.0519,108345.8817,113094.1396,100408.3201,70941.66072,79329.22417,68963.4371,99555.39074,144604.7132,103999.6502,59648.25584,52872.04356,98462.71308,77754.79807
F1M305,4174.52553,3541.171085,4399.273096,5061.418952,5185.244989,8987.942399,4791.977988,1128.359211,7551.423499,6078.889686,19582.91285,7839.871755,10100.57269,14883.66876,10288.21793
F1M1D5,1186.926323,1490.322499,556.0810442,1387.750996,420.6875098,2101.059061,386.5148482,2964.172114,1159.112586,275.5396294,5520.246334,2636.071234,1712.90094,7906.252059,3125.422798
F1M1H0,9786.870635,5540.538717,8792.289684,11950.32526,8355.730407,8509.917949,11182.31288,13437.13619,12895.79008,20642.31454,9887.07397,9710.839521,12012.52291,17822.57962,15224.69408
F1M1L9,3792.72679,4721.180955,3700.971717,5653.890999,3867.43729,3814.327027,2947.796752,2247.803886,2021.482034,4140.041874,261.1787773,3136.93892,2846.43833,2418.287879,2375.630591
F1M201,25260.04852,31701.3147,34869.74081,45134.54625,32251.53702,30405.35344,31984.09857,21597.262,38997.22801,50442.59676,5232.361939,12319.139,12188.12163,9667.762596,10268.85978
